freq,citizen,sex,unit,age,geo,FRST_2014 ,SSEQ_2014 ,TOTAL_2014 ,FRST_2015 ,SSEQ_2015 ,TOTAL_2015 ,FRST_2016 ,SSEQ_2016 ,TOTAL_2016 ,FRST_2017 ,SSEQ_2017 ,TOTAL_2017 ,FRST_2018 ,SSEQ_2018 ,TOTAL_2018 ,FRST_2019 ,SSEQ_2019 ,TOTAL_2019 ,FRST_2020 ,SSEQ_2020 ,TOTAL_2020 ,FRST_2021 ,SSEQ_2021 ,TOTAL_2021 ,FRST_2022 ,SSEQ_2022 ,TOTAL_2022 ,FRST_2023 ,SSEQ_2023 ,TOTAL_2023 ,FRST_2024 ,SSEQ_2024 ,TOTAL_2024 ,FRST_2025 ,SSEQ_2025 ,TOTAL_2025 
A,EXT_EU27_2020,T,PER,TOTAL,AT,25675 ,: ,28035 ,85505 ,: ,88160 ,39875 ,: ,42255 ,22455 ,: ,24715 ,11580 ,: ,13710 ,10985 ,: ,12860 ,13400 ,: ,14760 ,37800 ,2010 ,39900 ,109775 ,2470 ,112245 ,56135 ,3075 ,59210 ,22220 ,3105 ,25330 ,12460 ,4160 ,16620 
A,EXT_EU27_2020,T,PER,TOTAL,BE,14045 ,: ,22710 ,38990 ,: ,44665 ,14250 ,: ,18280 ,14035 ,: ,18340 ,18130 ,: ,22530 ,23105 ,: ,27460 ,12905 ,: ,16710 ,19545 ,5425 ,24970 ,32100 ,4640 ,36740 ,29260 ,5900 ,35160 ,32670 ,6460 ,39130 ,27500 ,6855 ,34355 
A,EXT_EU27_2020,T,PER,TOTAL,BG,10805 ,: ,11080 ,20160 ,: ,20390 ,18990 ,: ,19420 ,3470 ,: ,3695 ,2465 ,: ,2535 ,2075 ,: ,2150 ,3460 ,: ,3525 ,10890 ,100 ,11000 ,20260 ,125 ,20390 ,22390 ,115 ,22510 ,12130 ,120 ,12260 ,3800 ,95 ,3895 
A,EXT_EU27_2020,T,PER,TOTAL,CH,21940 ,: ,23560 ,38060 ,: ,39445 ,25825 ,: ,27140 ,16615 ,: ,18015 ,13465 ,: ,15160 ,12545 ,: ,14195 ,9725 ,: ,10990 ,13240 ,1630 ,14850 ,23075 ,1380 ,24440 ,26820 ,3320 ,30110 ,22670 ,4985 ,27615 ,23290 ,2285 ,25625 
A,EXT_EU27_2020,T,PER,TOTAL,CY,1480 ,: ,1745 ,2105 ,: ,2265 ,2840 ,: ,2940 ,4475 ,: ,4600 ,7610 ,: ,7765 ,12695 ,: ,13650 ,7065 ,: ,7495 ,13260 ,: m,13670 ,21590 ,: m,22190 ,11660 ,: m,11910 ,6750 ,1895 ,9185 ,2835 ,1445 ,4610 
A,EXT_EU27_2020,T,PER,TOTAL,CZ,905 ,: ,1145 ,1235 ,: ,1515 ,1200 ,: ,1475 ,1140 ,: ,1445 ,1350 ,: ,1690 ,1570 ,: ,1915 ,790 ,: ,1160 ,1055 ,350 ,1405 ,1335 ,350 ,1685 ,1130 ,275 ,1405 ,1025 ,330 ,1355 ,930 ,255 ,1185 
A,EXT_EU27_2020,T,PER,TOTAL,DE,172945 ,: ,202645 ,441805 ,: ,476510 ,722270 ,: ,745160 ,198255 ,: ,222565 ,161885 ,: ,184180 ,142450 ,: ,165615 ,102525 ,: ,121955 ,148175 ,42450 ,190545 ,217735 ,26200 ,243835 ,329035 ,22640 ,351510 ,229695 ,21005 ,250550 ,113170 ,55260 ,168375 
A,EXT_EU27_2020,T,PER,TOTAL,DK,14535 ,: ,14680 ,20825 ,: ,20935 ,6055 ,: ,6180 ,3125 ,: ,3220 ,3465 ,: ,3570 ,2605 ,: ,2700 ,1420 ,: ,1475 ,1995 ,: m,2080 ,4475 ,: m,4565 ,2355 ,: m,2455 ,2180 ,: m,2280 ,1835 ,: m,1920 
A,EXT_EU27_2020,T,PER,TOTAL,EE,145 ,: ,155 ,225 ,: ,230 ,150 ,: ,175 ,180 ,: ,190 ,90 ,: ,95 ,100 ,: ,105 ,45 ,: ,50 ,75 ,5 ,80 ,2940 ,0 ,2945 ,3980 ,5 ,3985 ,1330 ,25 ,1355 ,1005 ,15 ,1015 
A,EXT_EU27_2020,T,PER,TOTAL,EL,7585 ,: ,9430 ,11370 ,: ,13205 ,49875 ,: ,51110 ,56940 ,: ,58650 ,64975 ,: ,66965 ,74910 ,: ,77275 ,37860 ,: ,40560 ,22660 ,5695 ,28355 ,29125 ,8245 ,37375 ,57895 ,6325 ,64225 ,68995 ,4690 ,73680 ,55380 ,6250 ,61625 
A,EXT_EU27_2020,T,PER,TOTAL,ES,5460 ,: ,5615 ,14600 ,: ,14780 ,15570 ,: ,15755 ,33035 ,: ,36610 ,52730 ,: ,54050 ,115175 ,: ,117800 ,86380 ,: ,88530 ,62050 ,3245 ,65295 ,116135 ,1805 ,117945 ,160460 ,1965 ,162420 ,165435 ,2280 ,167720 ,141035 p,2660 p,143700 p
A,EXT_EU27_2020,T,PER,TOTAL,FI,3490 ,: ,3620 ,32150 ,: ,32345 ,5275 ,: ,5605 ,4330 ,: ,4995 ,2950 ,: ,4500 ,2445 ,: ,4520 ,1445 ,: ,3190 ,1355 ,1155 ,2525 ,4815 ,955 ,5780 ,4450 ,860 ,5335 ,2260 ,560 ,2915 ,1955 ,525 ,2515 
A,EXT_EU27_2020,T,PER,TOTAL,FR,58845 ,: ,64310 ,70570 ,: ,76165 ,76790 ,: ,84270 ,91965 ,: ,99330 ,126580 ,: ,137665 ,138290 ,: ,151070 ,81735 ,: ,93200 ,103790 ,16605 ,120685 ,137510 ,18590 ,156455 ,145055 ,21885 ,166940 ,129820 ,27635 ,157460 ,116370 ,35175 ,151545 
