freq,citizen,age,sex,unit,geo,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 ,2025 
A,EU27_2020_FOR,Y18-29,F,PC,AL,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC,AT,: ,12.9 u,6.7 u,9.3 u,4.1 ,11.2 ,21.1 u,19.9 u,8.2 u,9.6 ,13.6 u,26.1 
A,EU27_2020_FOR,Y18-29,F,PC,BE,: ,10.5 ,10.4 ,11.9 ,8.3 ,13.5 b,16.8 ,16.4 ,11.5 ,9.9 ,17.2 ,12.6 
A,EU27_2020_FOR,Y18-29,F,PC,BG,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,CH,2.6 ,0.5 ,2.2 ,2.2 ,0.8 ,1.5 ,1.9 ,0.0 ,2.6 ,2.8 ,1.9 ,: 
A,EU27_2020_FOR,Y18-29,F,PC,CY,: ,17.2 ,6.9 ,10.9 ,6.9 u,13.5 u,0.0 u,0.0 u,8.7 u,0.0 u,0.0 u,0.0 u
A,EU27_2020_FOR,Y18-29,F,PC,CZ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,DE,: ,15.8 u,16.2 u,: u,24.6 u,: u,0.9 b,11.5 ,8.6 ,8.5 ,12.3 ,5.8 
A,EU27_2020_FOR,Y18-29,F,PC,DK,: ,: u,: u,21.9 u,: u,: u,14.4 u,8.1 u,7.5 u,17.1 u,13.4 u,4.6 u
A,EU27_2020_FOR,Y18-29,F,PC,EA,: ,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC,EA19,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC,EA20,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,EA21,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u
A,EU27_2020_FOR,Y18-29,F,PC,EE,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,EL,: ,: u,: u,: u,18.7 u,22.1 u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,ES,: ,16.3 u,26.5 u,9.0 u,11.1 u,8.3 u,4.3 u,6.8 ,5.7 ,5.4 ,1.9 ,2.0 
A,EU27_2020_FOR,Y18-29,F,PC,EU27_2020,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,FI,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,FR,: ,: u,: u,: u,: u,: u,: u,7.8 u,21.3 bu,4.3 u,2.2 u,: u
A,EU27_2020_FOR,Y18-29,F,PC,HR,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,HU,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,IE,: ,20.2 ,15.9 ,2.6 u,9.1 u,6.0 bu,4.5 bu,33.6 u,: u,0.0 u,5.8 u,2.1 u
A,EU27_2020_FOR,Y18-29,F,PC,IS,: ,6.5 u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC,IT,: ,1.7 u,5.5 ,4.9 ,3.4 ,2.4 ,0.0 u,0.0 u,5.8 u,0.4 u,8.3 u,11.8 u
A,EU27_2020_FOR,Y18-29,F,PC,LT,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,LU,: ,2.4 ,4.7 b,2.3 ,5.4 ,6.0 ,6.8 b,3.7 b,0.2 b,5.5 ,2.6 ,2.1 b
A,EU27_2020_FOR,Y18-29,F,PC,LV,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,ME,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC,MK,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
A,EU27_2020_FOR,Y18-29,F,PC,MT,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,NL,: ,: u,20.5 bu,13.7 u,: u,5.1 u,18.5 u,: u,: u,0.3 u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,NO,: ,: u,3.9 u,6.7 u,3.2 u,6.4 u,18.6 u,18.3 bu,12.3 u,6.4 u,0.0 u,: u
A,EU27_2020_FOR,Y18-29,F,PC,PL,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,PT,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,RO,: ,: u,: u,: ,: u,: u,: ,: ,: ,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,RS,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,SE,: ,: u,: u,: u,: u,: u,: u,10.3 u,: u,5.6 u,1.3 u,24.7 u
A,EU27_2020_FOR,Y18-29,F,PC,SI,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,SK,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,TR,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,F,PC,UK,: ,8.5 ,4.9 ,1.3 bu,4.1 u,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,AL,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,AT,: ,12.9 u,6.7 u,9.3 u,4.1 ,11.2 ,21.1 u,19.9 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,BE,: ,10.5 ,10.4 ,11.9 ,8.3 ,13.5 b,16.0 ,15.1 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,BG,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,CH,: ,0.5 ,2.2 ,2.2 ,0.8 ,1.5 ,1.9 ,: ,: ,: ,: ,: 
